public_filename,source_filename,input_sha256,published_sha256,source_bytes,published_bytes,operation,subject,description
"images/2026-09-08_public-search_20928-deterministic-results.jpeg","IMG_6400.jpeg","d64afd3624ba112077580aa7a2cbee454c9cfc0ed07965eb7fd4ee621e0002e8","e3977b5a519638d6694966005e6477b8a4a338299bdbad6d122f4decfeab464c","832435","309594","JPEG normalized for publication; no crop or semantic content edit","Public record","Public-search screenshot displaying the 20,928 Results discussion and associated Grounded DI post."
"images/2026-09-08_grounded-di-os_fastpath-6-pro_tier-20-5-configuration.jpeg","IMG_6401.jpeg","2bfa8d6d8aa83b28b2f2adef155b16a40215d85c724e6258e5e66ea2111cedda","2bfa8d6d8aa83b28b2f2adef155b16a40215d85c724e6258e5e66ea2111cedda","567455","567455","Byte-identical republish","Runtime configuration","Grounded DI OS screenshot showing the FastPath 6 Pro and Tier 20.5 working-configuration language."
"images/2026-09-08_public-search_di-agi-work-product_vs_agi.jpeg","IMG_6402.jpeg","5dcb31a230cb2d88a1bd825d0cb6333261da5905758d65c7ac79cfc976fde2fd","5dcb31a230cb2d88a1bd825d0cb6333261da5905758d65c7ac79cfc976fde2fd","690281","690281","Byte-identical republish","Conceptual distinction","Public-search screenshot comparing DI-AGI work product with a theoretical AGI work product."
"images/2026-09-08_grounded-di-os_cross-thread-determinism-match.jpeg","IMG_6403.jpeg","be9ef002e4415fe9d6281eea415c6ffbb700c9d4133178daaff619bc9ac02bfd","a216bdbaaca1e2198a5cd765e7c243d778a72890f6d315a87201af8a2ee310dc","994902","374321","JPEG normalized for publication; no crop or semantic content edit","Cross-thread replay","Grounded DI OS screenshot displaying a three-run cross-thread match and repeated canonical result/hash text."
"images/2026-09-08_grounded-di-replay_fastpath-6-pro_audit-record.jpeg","IMG_6404.jpeg","63cc0ca38536d03c1d31acf9c39923fec0bcff4477f19f03a60d6b47579e15f5","63cc0ca38536d03c1d31acf9c39923fec0bcff4477f19f03a60d6b47579e15f5","409089","409089","Byte-identical republish","Replay audit","Grounded DI OS screenshot of the FastPath 6 Pro deterministic replay record and its displayed result counts."
"images/2026-09-08_grounded-di-os_fastpath-6-pro_continuity-check.jpeg","IMG_6405.jpeg","ecbf6daf3c04e3e9a43d79a628abb3f68ee6aaa9fac1689ec3777e7ba2256aea","0deb33613d012c5f588b3e5af55b572767a63dda483932b7e4aa2796cd81ecd8","944332","356749","JPEG normalized for publication; no crop or semantic content edit","Runtime continuity","Grounded DI OS screenshot showing the same Protocol A control wrapper across a new model engine."
"images/2026-09-16_determinism-is-becoming-a-stack_post.jpeg","IMG_7482.jpeg","1eaedbcb619d6925d38d012961d2401e2f54485aa762a0ef8c5943bee1ae5717","1eaedbcb619d6925d38d012961d2401e2f54485aa762a0ef8c5943bee1ae5717","324470","324470","Byte-identical republish","Public positioning","Grounded DI AI Threads screenshot stating that governance can make reasoning auditable, replayable and controlled, with an embedded determinism-stack graphic."
"images/2026-09-16_determinism-is-becoming-a-stack_graphic.jpeg","IMG_7483.jpeg","793623a5e96f8e0c87324a01080ecd1e84de8f91a4a795811616d120763ad05d","793623a5e96f8e0c87324a01080ecd1e84de8f91a4a795811616d120763ad05d","502284","502284","Byte-identical republish","Detail graphic","Full graphic-only capture of the five-layer “Determinism Is Becoming a Stack” presentation."
"images/2026-09-16_generation-is-easy-release-is-governed_post.jpeg","IMG_7484.jpeg","c836ae0e91f280cbab62936d2f9ce2250a40330de09f009cd63e34ae2ed16dee","c836ae0e91f280cbab62936d2f9ce2250a40330de09f009cd63e34ae2ed16dee","695317","695317","Byte-identical republish","Release governance","Grounded DI AI Threads screenshot stating that generation produces a candidate and governance determines what happens next."
"images/2026-09-16_generation-is-easy-release-is-governed_graphic.jpeg","IMG_7485.jpeg","82f2429684c6216837c88004e2dcb8a20a704a0047ddff12047cd3d6ba548ff3","82f2429684c6216837c88004e2dcb8a20a704a0047ddff12047cd3d6ba548ff3","536652","536652","Byte-identical republish","Detail graphic","Full graphic-only capture of the candidate-to-release governance workflow and its authorized, hold / review and blocked outcomes."
"images/2026-09-16_cognitive-operator-layer-v0-1_post.jpeg","IMG_7486.jpeg","c82e1ef0a96b945022ec5cfc11eb63c37419d13869e1ac49c970e554981811c1","c82e1ef0a96b945022ec5cfc11eb63c37419d13869e1ac49c970e554981811c1","845218","845218","Byte-identical republish","Experimental design","Grounded DI AI Threads screenshot displaying the explicitly unbenchmarked Cognitive Operator Layer v0.1 design candidate."
"images/2026-09-16_deterministic-robot_top-5-things-obvious-by-2035.jpeg","IMG_7508.jpeg","91f7aeebfb6ca21480d1569878048bc06edb0a1bfe70cd3ca5897e8489f93929","91f7aeebfb6ca21480d1569878048bc06edb0a1bfe70cd3ca5897e8489f93929","320003","320003","Byte-identical republish","Speculative forecast","Grounded DI AI Threads screenshot displaying five structured propositions framed as things that may seem obvious by 2035."
